codigo, lab_1,lab_2,lab_3,lab_4,lab_5,lab_6,lab_7,lab_8,lab_9,lab_10,lab_11,lab_12, examen1, examen2
20250137,11,8,2,8,1,5,1,12,3,12,2,17,9,11
20250138,1,12,16,17,15,11,15,13,0,15,6,11,13,17
20250139,1,8,8,18,18,16,13,18,16,9,8,7,3,10
20250140,16,19,10,2,12,9,10,16,13,7,6,16,15,17
20250141,2,5,5,13,13,18,11,11,15,6,6,18,17,7
20250142,6,2,15,14,2,13,19,1,4,5,20,8,7,18
20250143,5,5,11,1,10,18,10,2,5,1,3,20,1,9
20250144,1,9,4,8,14,20,4,1,8,11,3,2,0,6
20250145,13,13,6,5,18,5,14,13,16,9,14,8,17,14
20250146,4,20,20,16,18,6,9,20,11,10,17,17,20,7
20250147,12,19,20,19,12,16,13,10,15,17,7,0,13,5
20250148,8,7,19,0,19,19,19,7,13,17,8,0,15,10
20250149,15,5,11,16,15,7,13,7,9,16,9,1,3,18
20250150,12,15,7,9,10,3,17,20,2,2,11,4,12,6
20250151,17,8,7,15,2,16,15,19,16,12,16,8,20,8
20250152,15,9,16,13,5,0,20,4,5,12,20,0,11,11
20250153,2,15,7,3,12,4,12,19,1,13,10,19,20,8
20250154,16,17,18,1,9,9,12,17,7,13,8,15,4,3
20250155,13,8,2,12,4,2,2,3,4,11,10,20,16,16
20250156,0,17,2,0,18,15,3,12,3,1,17,20,1,3
20250157,12,9,13,5,3,8,11,7,10,18,13,1,6,11
20250158,2,15,2,4,10,17,17,15,8,17,19,3,3,10
20250159,2,3,3,1,16,18,18,15,2,15,13,9,16,0
20250160,12,3,20,1,11,20,1,4,6,0,18,9,6,20
20250161,19,2,16,6,19,14,4,13,15,0,12,12,4,12
20250162,18,18,19,20,19,3,16,14,7,10,19,11,18,16
20250163,5,11,1,8,20,2,3,8,2,12,6,0,10,8
20250164,16,1,20,8,13,6,7,9,11,14,10,7,18,11
20250165,12,10,7,18,8,12,4,17,14,8,7,5,16,4
20250166,1,10,7,17,14,7,11,13,4,1,6,9,16,18
20250167,8,19,14,14,9,12,16,6,2,19,0,8,18,19
20250168,8,9,6,16,0,17,15,20,10,9,2,12,7,11
20250169,12,14,8,20,17,10,17,19,11,2,11,10,18,0
20250170,18,0,13,11,14,18,18,15,6,17,3,2,8,19
20250171,9,12,17,13,0,13,20,12,8,15,4,13,17,19
20250172,2,18,16,14,0,17,5,1,20,5,5,4,0,6
20250173,3,1,15,10,13,10,18,9,14,12,6,5,17,19
20250174,11,1,0,8,7,11,5,10,11,10,1,2,19,17
20250175,15,20,20,11,20,8,11,0,3,14,11,3,14,14
20250176,10,18,9,19,9,14,2,3,19,19,18,2,4,10
20250177,13,10,10,20,1,16,0,3,7,19,15,12,1,3
20250178,14,7,9,11,3,7,7,6,10,4,16,17,5,7
20250179,18,14,19,20,20,15,5,14,2,17,18,0,6,13
20250180,14,8,20,11,4,15,7,12,5,16,11,11,7,6
20250181,10,4,9,2,20,15,17,13,20,12,14,14,5,6
20250182,9,10,7,19,11,10,8,14,20,13,6,6,8,3
20250183,14,20,17,0,16,17,8,14,2,20,2,3,2,17
20250184,6,4,11,20,18,7,2,2,10,3,4,11,20,9
20250185,7,9,13,6,12,6,5,0,5,5,2,10,11,10
20250186,8,17,19,18,3,15,7,0,11,16,7,1,4,9
20250187,18,16,12,17,16,6,13,17,20,19,4,20,7,14
20250188,11,13,19,18,17,14,16,15,18,4,5,18,6,5
20250189,4,8,17,19,0,18,15,0,3,7,6,7,18,19
20250190,1,7,3,20,5,17,19,4,13,16,8,7,0,0
20250191,14,16,11,10,4,7,18,1,7,9,14,10,16,5
20250192,10,17,1,7,17,8,13,2,8,15,16,4,17,10
20250193,9,0,12,9,5,9,5,12,19,7,7,4,19,19
20250194,10,1,19,3,10,17,5,1,18,0,9,7,18,17
20250195,18,4,16,1,4,15,17,19,4,3,20,10,4,4
20250196,1,19,8,16,5,6,4,18,17,0,3,17,18,15
20250197,9,5,9,17,19,18,8,17,15,12,13,11,0,14
20250198,12,12,1,19,14,16,20,8,16,12,5,13,16,19
20250199,16,4,7,11,17,2,5,1,7,9,14,6,8,0
20250200,2,15,3,18,6,1,20,8,16,7,19,20,10,2
